group,axis,method,bin,v22,v22_err,c22_or_corr,c22_or_corr_err,c22_significance
selection,beam,sphgt0p12,40_999,0.4789755236,0.03200116913,0.2294175522,0.03057663023,7.503035831
selection,beam,sphgt0p22,0_10,0.5734616018,0.006192216948,0.3288582087,0.007092001938,46.37029312
selection,beam,sphgt0p22,10_15,0.5399469719,0.003269607513,0.2915427325,0.003530570288,82.57666855
selection,beam,sphgt0p22,15_20,0.5006258374,0.0009095663741,0.2506262291,0.000910727826,275.1933365
selection,beam,sphgt0p22,20_25,0.4747164403,0.001393059042,0.2253556987,0.001322507758,170.4002849
selection,beam,sphgt0p22,25_30,0.460739212,0.002514267525,0.2122806215,0.002315971085,91.65944378
selection,beam,sphgt0p22,30_35,0.4407739324,0.002625025917,0.1942816595,0.002312775106,84.0036971
selection,beam,sphgt0p22,35_40,0.4157131106,0.01231701112,0.1728173903,0.01025413348,16.85343677
selection,beam,sphgt0p22,40_999,0.4789755236,0.03200116913,0.2294175522,0.03057663023,7.503035831
selection,thrust,inclusive,0_10,0.3416780557,0.001938489142,0.1167438938,0.001324491045,88.1424561
selection,thrust,inclusive,10_15,0.3697460193,0.0008824768038,0.1367121188,0.0006525794907,209.4949669
selection,thrust,inclusive,15_20,0.4038380879,0.0005744860261,0.1630852012,0.0004639623566,351.5052437
selection,thrust,inclusive,20_25,0.4191647485,0.0005767513161,0.1756990864,0.000483460363,363.4198371
selection,thrust,inclusive,25_30,0.4197089718,0.001240855941,0.176155621,0.001041790191,169.0893451
selection,thrust,inclusive,30_35,0.407710165,0.003512120616,0.1662275786,0.002863981658,58.04072738
selection,thrust,inclusive,35_40,0.4026238402,0.01364775686,0.1621059567,0.01094358486,14.81287519
selection,thrust,inclusive,40_999,0.3124884891,0.1307904729,0.09764905579,0.06713179046,1.454587389
selection,thrust,pt04to1,0_10,0.2577821146,0.0005744979809,0.06645161859,0.0002962494497,224.3096777
selection,thrust,pt04to1,10_15,0.2960736419,0.001290010776,0.08765960143,0.0007638047425,114.7670295
selection,thrust,pt04to1,15_20,0.2963710461,0.004733890724,0.08783579694,0.00280543054,31.30920395
selection,thrust,pt04to1,20_25,0.2816189663,0.01328087508,0.0793092422,0.007477078497,10.60698269
selection,thrust,pt04to1,25_30,0,0,0.3472047506,0.3255044537,1.066666667
selection,thrust,pt04to1,30_35,0,0,0,0,0
selection,thrust,pt04to1,35_40,0,0,0,0,0
selection,thrust,pt04to1,40_999,0,0,0,0,0
selection,thrust,pt04to2,0_10,0.3185663475,0.0005728041069,0.1014845178,0.0003649270674,278.0953424
selection,thrust,pt04to2,10_15,0.3627184446,0.0006361429455,0.13156467,0.0004614150519,285.1330261
selection,thrust,pt04to2,15_20,0.3772794801,0.0008401057479,0.1423398061,0.000633995305,224.5123978
selection,thrust,pt04to2,20_25,0.3750290217,0.001887894167,0.1406467671,0.001415647101,99.35157358
selection,thrust,pt04to2,25_30,0.3602936048,0.005282808888,0.1298114817,0.003803992536,34.12506214
selection,thrust,pt04to2,30_35,0.3677611692,0.01690781487,0.1352482776,0.01240454213,10.90312534
selection,thrust,pt04to2,35_40,0.4130273878,0.06304436354,0.1705916231,0.05155434714,3.3089668
selection,thrust,pt04to2,40_999,0,0,0,0,0
selection,thrust,pt1to3,0_10,0.6405028348,0.0006278798672,0.4102438813,0.0008043605264,510.0248805
selection,thrust,pt1to3,10_15,0.6225407432,0.001480515852,0.3875569769,0.001843567585,210.2211929
selection,thrust,pt1to3,15_20,0.6088519216,0.004737111313,0.3707006624,0.005769191798,64.25521552
selection,thrust,pt1to3,20_25,0.5979873882,0.01226581562,0.3575889165,0.01469669633,24.33124482
selection,thrust,pt1to3,25_30,0,0,0.5502057503,0.5158178909,1.066666667
selection,thrust,pt1to3,30_35,0,0,0,0,0
selection,thrust,pt1to3,35_40,0,0,0,0,0
selection,thrust,pt1to3,40_999,0,0,0,0,0
selection,thrust,positive,0_10,0.4412285536,0.0004498444166,0.1946826365,0.0003969717655,490.4193532
selection,thrust,positive,10_15,0.4346229437,0.0005190812932,0.1888971032,0.0004511771832,418.6760993
selection,thrust,positive,15_20,0.4170354058,0.003444094221,0.1739185297,0.002874299361,60.50814751
selection,thrust,positive,20_25,0.3863158516,0.02066926763,0.1492399372,0.01593393268,9.366170934
selection,thrust,positive,25_30,0,0,0.1279293768,0.1199337908,1.066666667
selection,thrust,positive,30_35,0,0,0,0,0
selection,thrust,positive,35_40,0,0,0,0,0
selection,thrust,positive,40_999,0,0,0,0,0
selection,thrust,negative,0_10,0.4435807885,0.0007637780897,0.1967639159,0.0006776743244,290.3517351
